queried_sp_name,sp_name,itis,itis_reason,itis_tsn,gnr_score,gnr_source
Lathyrus subandinus,Lathyrus subandinus,NA,NA,NA,0.988,NCBI
Lepidium suffruticosum,Lepidium suffruticosum,NA,NA,NA,0.988,uBio NameBank
Leucocoryne ixioides,Leucocoryne ixioides,NA,NA,NA,0.988,NCBI
Loasa sigmoidea,Loasa sigmoidea,NA,NA,NA,0.988,uBio NameBank
Lupinus microcarpus,Lupinus microcarpus,not accepted,synonym,516339,0.988,NCBI
Lupinus microcarpus,Lupinus subvexus var. subvexus,accepted,NA,529008,NA,NA
Lupinus microcarpus,Lupinus subvexus subvexus,NA,NA,NA,0.999,Catalogue of Life
Malesherbia linearifolius,Malesherbia linearifolius,NA,NA,NA,NA,NA
Malesherbia linearifolius,Malesherbia linearifolia,NA,NA,NA,0.75,Catalogue of Life
Nothoscordum andinum,Nothoscordum andinum,NA,NA,NA,0.988,uBio NameBank
Oenothera acaulis,Oenothera acaulis,NA,NA,NA,0.988,NCBI
Solanum tomatillo,Solanum tomatillo,NA,NA,NA,0.988,uBio NameBank
Solenomelus sisyrinchium,Solenomelus sisyrinchium,NA,NA,NA,0.988,uBio NameBank
Tetraglochin alatum,Tetraglochin alatum,NA,NA,NA,0.988,EOL
Tristagma sessile,Tristagma sessile,NA,NA,NA,0.988,NCBI
Tropaeolum polyph,Tropaeolum polyph,NA,NA,NA,NA,NA
Tropaeolum polyph,Tropaeolum,accepted,NA,29178,0.75,Catalogue of Life
Tropaeolum tricolor,Tropaeolum tricolor,NA,NA,NA,0.988,NCBI
Oxalis compacta,Oxalis compacta,NA,NA,NA,0.988,Catalogue of Life
Discaria nana,Discaria nana,NA,NA,NA,0.988,Union 4
Laretia acaulis,Laretia acaulis,NA,NA,NA,0.988,EOL
Anarthrophyllum gayanum,Anarthrophyllum gayanum,NA,NA,NA,0.988,EOL
Azorella monantha,Azorella monantha,NA,NA,NA,0.988,NCBI
Loasa caespitosa,Loasa caespitosa,NA,NA,NA,0.988,uBio NameBank
Nassauvia axillaris,Nassauvia axillaris,NA,NA,NA,0.988,NCBI
Azorella bolacina,Azorella bolacina,NA,NA,NA,0.988,uBio NameBank
Chaetanthera pusilla,Chaetanthera pusilla,NA,NA,NA,0.988,NCBI
Calandrinia sericea,Calandrinia sericea,NA,NA,NA,0.988,uBio NameBank
Cerastium montioides,Cerastium montioides,NA,NA,NA,0.988,uBio NameBank
Mutisia sinuata,Mutisia sinuata,NA,NA,NA,0.988,NCBI
Ranunculus peduncularis,Ranunculus peduncularis,NA,NA,NA,0.988,NCBI
Stenodraba stenophylla,Stenodraba stenophylla,NA,NA,NA,0.988,uBio NameBank
Werneria pygmaea,Werneria pygmaea,NA,NA,NA,0.988,EOL
Phacelia secunda,Phacelia secunda,NA,NA,NA,0.988,uBio NameBank
Acaena pinnatifida,Acaena pinnatifida,accepted,NA,508020,0.988,NCBI
Calandrinia dianthoides,Calandrinia dianthoides,NA,NA,NA,0.988,uBio NameBank
Calceolaria arachnoides,Calceolaria arachnoides,NA,NA,NA,0.988,uBio NameBank
Chaetanthera apiculata,Chaetanthera apiculata,NA,NA,NA,0.988,NCBI
Erigeron andicola,Erigeron andicola,NA,NA,NA,0.988,EOL
Nassauvia pungens,Nassauvia pungens,NA,NA,NA,0.988,uBio NameBank
Tristagma bivalve,Tristagma bivalve,NA,NA,NA,0.988,NCBI
Viola philippii,Viola philippii,NA,NA,NA,0.988,EOL
Azorella madreporica,Azorella madreporica,NA,NA,NA,0.988,NCBI
Tropaeolum polyphyllum,Tropaeolum polyphyllum,NA,NA,NA,0.988,NCBI
Draba tenuis,Draba tenuis,NA,NA,NA,0.988,uBio NameBank
Nassauvia lagascae,Nassauvia lagascae,NA,NA,NA,0.988,NCBI
Nototriche compacta,Nototriche compacta,NA,NA,NA,0.988,uBio NameBank
Caiophora coronata,Caiophora coronata,NA,NA,NA,0.988,NCBI
Draba gilliesii,Draba gilliesii,NA,NA,NA,0.988,NCBI
Junellia uniflora,Junellia uniflora,NA,NA,NA,0.988,NCBI
Oreopolus glacialis,Oreopolus glacialis,NA,NA,NA,0.988,NCBI
Adesmia capitellata,Adesmia capitellata,NA,NA,NA,0.988,EOL
Adesmia glomerula,Adesmia glomerula,NA,NA,NA,0.988,NCBI
Chaetanthera lycopodioides,Chaetanthera lycopodioides,NA,NA,NA,0.988,NCBI
Viola atropurpurea,Viola atropurpurea,NA,NA,NA,0.988,EOL
Calandrinia caespitosa,Calandrinia caespitosa,NA,NA,NA,0.988,NCBI
Calandrinia occulta,Calandrinia occulta,NA,NA,NA,0.988,uBio NameBank
Calandrinia picta,Calandrinia picta,NA,NA,NA,0.988,uBio NameBank
Chaetanthera flabellata,Chaetanthera flabellata,NA,NA,NA,0.988,NCBI
Leuceria salina,Leuceria salina,NA,NA,NA,0.988,uBio NameBank
Nassauvia pinnigera,Nassauvia pinnigera,NA,NA,NA,0.988,NCBI
Pozoa coriacea,Pozoa coriacea,NA,NA,NA,0.988,NCBI
Valeriana radicalis,Valeriana radicalis,NA,NA,NA,0.988,NCBI
Viola montagnei,Viola montagnei,NA,NA,NA,0.988,EOL
Cornus canadensis,Cornus canadensis,accepted,NA,27816,0.988,NCBI
Maianthemum canadense,Maianthemum canadense,accepted,NA,503653,0.988,NCBI
Oxalis montana,Oxalis montana,accepted,NA,29090,0.988,NCBI
Chimaphila umbellata,Chimaphila umbellata,accepted,NA,23769,0.988,Catalogue of Life
Aralia nudicaulis,Aralia nudicaulis,accepted,NA,29376,0.988,NCBI
Linnaea borealis,Linnaea borealis,accepted,NA,35314,0.988,NCBI
Clintonia borealis,Clintonia borealis,accepted,NA,42903,0.988,NCBI
Cypripedium acaule,Cypripedium acaule,accepted,NA,43534,0.988,NCBI
Pyrola secunda,Pyrola secunda,not accepted,synonym,23755,0.988,GBIF Backbone Taxonomy
Pyrola secunda,Orthilia secunda,accepted,NA,504066,0.988,NCBI
Trillium undulatum,Trillium undulatum,accepted,NA,43092,0.988,NCBI
Trientalis borealis,Trientalis borealis,accepted,NA,24053,0.988,NCBI
Medeola virginiana,Medeola virginiana,accepted,NA,42963,0.988,NCBI
Rubus deliciosus,Rubus deliciosus,accepted,NA,24910,0.988,NCBI
Geranium caespitosum,Geranium caespitosum,accepted,NA,29130,0.988,NCBI
Rosa acicularis,Rosa acicularis,accepted,NA,24812,0.988,Catalogue of Life
Pentstemon glaber,Pentstemon glaber,NA,NA,NA,0.988,uBio NameBank
Chamaenerium angustifolium,Chamaenerium angustifolium,NA,NA,NA,0.988,Tropicos - Missouri Botanical Garden
Pentstemon gracilis,Pentstemon gracilis,NA,NA,NA,0.988,uBio NameBank
Prunus demissa,Prunus demissa,not accepted,synonym,519650,0.988,EOL
Prunus demissa,Prunus demissa,not accepted,"other, see comments",837325,0.988,EOL
Prunus demissa,Prunus virginiana var. demissa,accepted,NA,529893,NA,NA
Prunus demissa,Prunus virginiana demissa,NA,NA,NA,0.999,EOL
Monarda fistulosa,Monarda fistulosa,not accepted,"invalidly published, other",32284,0.988,NCBI
Monarda fistulosa,Monarda fistulosa,accepted,NA,565311,0.988,NCBI
Monarda fistulosa,Monarda fistulosa,accepted,NA,565311,0.988,NCBI
Mertensia sibirica,Mertensia sibirica,NA,NA,NA,0.988,NCBI
Carduus hookerianus,Carduus hookerianus,NA,NA,NA,0.988,uBio NameBank
Rubus strigosus,Rubus strigosus,not accepted,synonym,25056,0.988,Freebase
Rubus strigosus,Rubus sachalinensis var. sachalinensis,accepted,NA,837726,NA,NA
Rubus strigosus,Rubus sachalinensis sachalinensis,NA,NA,NA,0.999,GBIF Backbone Taxonomy
Erigeron macranthus,Erigeron macranthus,not accepted,synonym,513037,0.988,CU*STAR
Erigeron macranthus,Erigeron speciosus,accepted,NA,35950,0.988,NCBI
Opulaster opulifolius,Opulaster opulifolius,not accepted,synonym,517808,0.988,uBio NameBank
Opulaster opulifolius,Physocarpus opulifolius,accepted,NA,25282,0.988,NCBI
Holodiscus dumosus,Holodiscus dumosus,not accepted,synonym,25178,0.988,EOL
Holodiscus dumosus,Holodiscus discolor var. dumosus,accepted,NA,536220,NA,NA
Holodiscus dumosus,Holodiscus discolor dumosus,NA,NA,NA,0.999,uBio NameBank
Penstemon secundiflorus,Penstemon secundiflorus,accepted,NA,33991,0.988,NCBI
Solidago missouriensis,Solidago missouriensis,accepted,NA,36277,0.988,NCBI
Frasera speciosa,Frasera speciosa,accepted,NA,502660,0.988,NCBI
Stanleya pinnatifida,Stanleya pinnatifida,NA,NA,NA,0.988,CU*STAR
Geranium richardsoni,Geranium richardsoni,NA,NA,NA,NA,NA
Geranium richardsoni,Geranium richardsonii,accepted,NA,29118,0.75,Catalogue of Life
Potentilla pulcherrima,Potentilla pulcherrima,accepted,NA,504586,0.988,NCBI
Pentstemon glaucus,Pentstemon glaucus,NA,NA,NA,0.988,uBio NameBank
Astragalus drummondi,Astragalus drummondi,NA,NA,NA,NA,NA
Astragalus drummondi,Astragalus drummondii,accepted,NA,25500,0.75,Catalogue of Life
Delphinium scopulorum,Delphinium scopulorum,not accepted,misapplied,18508,0.988,EOL
Delphinium scopulorum,Delphinium scopulorum,accepted,NA,565126,0.988,EOL
Delphinium scopulorum,Delphinium glaucum,accepted,NA,18458,0.988,NCBI
Jamesia americana,Jamesia americana,accepted,NA,24379,0.988,NCBI
