queried_sp_name,sp_name,itis,itis_reason,itis_tsn,gnr_score,gnr_source
Reynoutria japonica,Fallopia japonica japonica,NA,NA,NA,0.999,GRIN Taxonomy for Plants
Viola verecunda,Viola verecunda,NA,NA,NA,0.988,NCBI
Geranium nepalense,Geranium nepalense,accepted,NA,895179,0.988,NCBI
Ampelopsis brevipedunculata,Ampelopsis brevipedunculata,accepted,NA,28632,0.988,Freebase
Anemone flaccida,Anemone flaccida,NA,NA,NA,0.988,NCBI
Cirsium kagamontanum,Cirsium kagamontanum,NA,NA,NA,0.988,uBio NameBank
Persicaria pubescens,Persicaria pubescens,NA,NA,NA,0.988,NCBI
Viola kusanoana,Viola kusanoana,NA,NA,NA,0.988,NCBI
Viola vaginata,Viola vaginata,NA,NA,NA,0.988,NCBI
Stenactis annuus,Stenactis annuus,NA,NA,NA,NA,NA
Stenactis annuus,Stenactis,NA,NA,NA,0.75,GRIN Taxonomy for Plants
Aster glehni,Aster glehni,NA,NA,NA,0.988,CU*STAR
Rubus microphyllus,Rubus microphyllus,NA,NA,NA,0.988,EOL
Spuriopimpinella nikoensis,Spuriopimpinella nikoensis,NA,NA,NA,0.988,NCBI
Cacalia delphiniifolia,Cacalia delphiniifolia,NA,NA,NA,0.988,uBio NameBank
Persicaria senticosa,Persicaria senticosa,NA,NA,NA,0.988,NCBI
Hovenia tomentella,Hovenia tomentella,NA,NA,NA,0.988,EOL
Ligustrum obtusifolium,Ligustrum obtusifolium,accepted,NA,32976,0.988,NCBI
Aruncus dioicus,Aruncus dioicus,accepted,NA,25130,0.988,NCBI
Lespedeza bicolor,Lespedeza bicolor,accepted,NA,25895,0.988,NCBI
Euonymus sieboldianus,Euonymus sieboldianus,NA,NA,NA,0.988,EOL
Kalimeris yomena,Kalimeris yomena,NA,NA,NA,0.988,uBio NameBank
Rubus palmatus,Rubus palmatus,NA,NA,NA,0.988,NCBI
Impatiens textori,Impatiens textori,NA,NA,NA,0.988,EOL
Oxalis griffithii,Oxalis griffithii,NA,NA,NA,0.988,NCBI
Rhus trichocarpa,Rhus trichocarpa,NA,NA,NA,0.988,EOL
Rosa multiflora,Rosa multiflora,accepted,NA,24833,0.988,NCBI
Rubus illecebrosus,Rubus illecebrosus,accepted,NA,504856,0.988,NCBI
Styrax japonica,Styrax japonica,NA,NA,NA,0.988,EOL
Acer rufinerve,Acer rufinerve,NA,NA,NA,0.988,NCBI
Adenocaulon himalaicum,Adenocaulon himalaicum,NA,NA,NA,0.988,NCBI
Aesculus turbinata,Aesculus turbinata,accepted,NA,506070,0.988,NCBI
Agrimonia pilosa,Agrimonia pilosa,NA,NA,NA,0.988,NCBI
Angelica polymorpha,Angelica polymorpha,NA,NA,NA,0.988,NCBI
Bistorta tenuicaulis,Bistorta tenuicaulis,NA,NA,NA,0.988,NCBI
Caryopteris divaricata,Caryopteris divaricata,NA,NA,NA,0.988,NCBI
Geum japonicum,Geum japonicum,NA,NA,NA,0.988,NCBI
Rabdosia longituba,Rabdosia longituba,NA,NA,NA,0.988,uBio NameBank
Rubus parvifolius,Rubus parvifolius,accepted,NA,836780,0.988,NCBI
Stachyurus praecox,Stachyurus praecox,NA,NA,NA,0.988,NCBI
Ainsliaea acerifolia,Ainsliaea acerifolia,NA,NA,NA,0.988,NCBI
Alangium platanifolium,Alangium platanifolium,NA,NA,NA,0.988,NCBI
Antenoron filiforme,Antenoron filiforme,accepted,NA,823851,0.988,EOL
Aucuba japonica,Aucuba japonica,accepted,NA,565023,0.988,NCBI
Benthamida kousa,Benthamida kousa,NA,NA,NA,NA,NA
Benthamida kousa,Benthamia kousa,NA,NA,NA,0.75,Catalogue of Life
Carpesium divaricatum,Carpesium divaricatum,NA,NA,NA,0.988,NCBI
Cirsium japonicum,Cirsium japonicum,accepted,NA,780258,0.988,NCBI
Clinopodium micranthum,Clinopodium micranthum,NA,NA,NA,0.988,NCBI
Commelina communis,Commelina communis,accepted,NA,39127,0.988,NCBI
Cryptotaenia japonica,Cryptotaenia japonica,accepted,NA,505948,0.988,NCBI
Desmodium podocarpum,Desmodium podocarpum,NA,NA,NA,0.988,GBIF Backbone Taxonomy
Disporum sessile,Disporum sessile,NA,NA,NA,0.988,NCBI
Epimedium grandiflorum,Epimedium grandiflorum,NA,NA,NA,0.988,NCBI
Impatiens noli-tangere,Impatiens noli-tangere,accepted,NA,29188,0.988,NCBI
Magnolia salicifolia,Magnolia salicifolia,NA,NA,NA,0.988,NCBI
Patrinia villosa,Patrinia villosa,NA,NA,NA,0.988,Catalogue of Life
Persicaria aestiva,Persicaria aestiva,NA,NA,NA,0.988,uBio NameBank
Petasites japonicus,Petasites japonicus,accepted,NA,36057,0.988,Catalogue of Life
Plantago asiatica,Plantago asiatica,not accepted,misapplied,519143,0.988,Catalogue of Life
Plantago asiatica,Plantago major,accepted,NA,32887,0.988,NCBI
Polygonatum macranthum,Polygonatum macranthum,NA,NA,NA,0.988,uBio NameBank
Salvia glabrescens,Salvia glabrescens,NA,NA,NA,0.988,NCBI
Siegesbeckia orientalis,Siegesbeckia orientalis,NA,NA,NA,0.988,EOL
Tricyrtis hirta,Tricyrtis hirta,accepted,NA,505579,0.988,NCBI
Tripterospermum japonicum,Tripterospermum japonicum,NA,NA,NA,0.988,NCBI
Viola grypoceras,Viola grypoceras,NA,NA,NA,0.988,NCBI
Azorella monanthos,Azorella monanthos,NA,NA,NA,NA,NA
Azorella monanthos,Azorella monathos,NA,NA,NA,0.75,GBIF Backbone Taxonomy
Senecio looseri,Senecio looseri,NA,NA,NA,0.988,uBio NameBank
Adesmia haemisphaerica,Adesmia haemisphaerica,NA,NA,NA,NA,NA
Adesmia haemisphaerica,Adesmia hemisphaerica,NA,NA,NA,0.75,Catalogue of Life
Jaborosa laciniata,Jaborosa laciniata,NA,NA,NA,0.988,NCBI
Astragalus nivicola,Astragalus nivicola,NA,NA,NA,0.988,NCBI
Montiopsis gilliesii,Montiopsis gilliesii,NA,NA,NA,0.988,NCBI
Oxalis erythrorhiza,Oxalis erythrorhiza,NA,NA,NA,0.988,uBio NameBank
Perezia pilifera,Perezia pilifera,NA,NA,NA,0.988,NCBI
Senecio tricephalus,Senecio tricephalus,NA,NA,NA,0.988,CU*STAR
Tarasa humilis,Tarasa humilis,NA,NA,NA,0.988,NCBI
Astragalus cruckshanksii,Astragalus cruckshanksii,NA,NA,NA,0.988,NCBI
Epilobium nivale,Epilobium nivale,NA,NA,NA,0.988,uBio NameBank
Hypochoeris montana,Hypochoeris montana,NA,NA,NA,0.988,uBio NameBank
Leuceria candidissima,Leuceria candidissima,NA,NA,NA,0.988,uBio NameBank
Loasa incurva,Loasa incurva,NA,NA,NA,0.988,uBio NameBank
Menonvillea hookeri,Menonvillea hookeri,NA,NA,NA,0.988,NCBI
Grindelia chiloensis,Grindelia chiloensis,NA,NA,NA,0.988,NCBI
Discaria trinervis,Discaria trinervis,NA,NA,NA,0.988,EOL
Baccharis pingraea,Baccharis pingraea,NA,NA,NA,0.988,EOL
Larrea divaricata,Larrea divaricata,not accepted,synonym,515656,0.988,NCBI
Larrea divaricata,Larrea tridentata,accepted,NA,29051,0.988,Catalogue of Life
Hysterionica jasionoides,Hysterionica jasionoides,NA,NA,NA,0.988,NCBI
Rosa rubiginosa,Rosa rubiginosa,accepted,NA,520258,0.988,Freebase
Senecio subulatus,Senecio subulatus,NA,NA,NA,0.988,Catalogue of Life
Opuntia corrugata,Opuntia corrugata,not accepted,synonym,911204,0.988,BioLib.cz
Opuntia corrugata,Tunilla corrugata,accepted,NA,908439,0.988,NCBI
Pyrrhocactus strausianum,Pyrrhocactus strausianum,NA,NA,NA,NA,NA
Pyrrhocactus strausianum,Pyrrhocactus strausianus,not accepted,synonym,911648,0.75,Catalogue of Life
Pyrrhocactus strausianum,Eriosyce strausiana,accepted,NA,908249,NA,NA
Rapistrum rugosum,Rapistrum rugosum,accepted,NA,23292,0.988,NCBI
Thelesperma megapotamicum,Thelesperma megapotamicum,accepted,NA,38525,0.988,NCBI
Arjona patagonica,Arjona patagonica,NA,NA,NA,0.988,uBio NameBank
Junellia tonini,Junellia tonini,NA,NA,NA,0.988,EOL
Senecio filaginoides,Senecio filaginoides,NA,NA,NA,0.988,NCBI
Adesmia retrofracta,Adesmia retrofracta,NA,NA,NA,0.988,NCBI
Lecanophora heterophylla,Lecanophora heterophylla,NA,NA,NA,0.988,NCBI
Mutisia decurrens,Mutisia decurrens,NA,NA,NA,0.988,NCBI
Oenothera mendocinensis,Oenothera mendocinensis,NA,NA,NA,0.988,NCBI
Polygala stenophylla,Polygala stenophylla,NA,NA,NA,0.988,uBio NameBank
Potentilla vahliana,Potentilla vahliana,accepted,NA,24758,0.988,NCBI
Caltha palustris,Caltha palustris,accepted,NA,18454,0.988,Catalogue of Life
Geum rossii,Geum rossii,accepted,NA,24660,0.988,NCBI
Oxytropis arctica,Oxytropis arctica,accepted,NA,26163,0.988,NCBI
Petasites frigidus,Petasites frigidus,accepted,NA,36054,0.988,Catalogue of Life
Claytonia virginica,Claytonia virginica,accepted,NA,20382,0.988,NCBI
Erythronium umbilicatum,Erythronium umbilicatum,accepted,NA,42931,0.988,NCBI
Stellaria pubera,Stellaria pubera,accepted,NA,20193,0.988,NCBI
Thalictrum thalictroides,Thalictrum thalictroides,accepted,NA,18683,0.988,NCBI
Cardamine angustata angustata,Cardamine angustata angustata,NA,NA,NA,0.999,uBio NameBank
Hepatica americana,Hepatica americana,not accepted,synonym,514659,0.988,EOL
Hepatica americana,Anemone americana,accepted,NA,565910,0.988,NCBI
Sangiunaria canadensis,Sangiunaria canadensis,NA,NA,NA,NA,NA
Sangiunaria canadensis,Sanguinaria canadensis,accepted,NA,18990,0.75,Catalogue of Life
Tiarella cordifolia collina,Tiarella cordifolia collina,NA,NA,NA,0.999,uBio NameBank
Aesculus sylvatica,Aesculus sylvatica,accepted,NA,28724,0.988,NCBI
Viola papilionacea,Viola papilionacea,not accepted,synonym,22127,0.988,uBio NameBank
Viola papilionacea,Viola sororia var. sororia,accepted,NA,847691,NA,NA
Viola papilionacea,Viola sororia sororia,NA,NA,NA,0.999,GRIN Taxonomy for Plants
Uvularia sessilifolia,Uvularia sessilifolia,accepted,NA,43112,0.988,NCBI
Podophyllum peltatum,Podophyllum peltatum,accepted,NA,18850,0.988,NCBI
Trillium catesbei,Trillium catesbei,NA,NA,NA,NA,NA
Trillium catesbei,Trillium catesbaei,accepted,NA,43064,0.75,Catalogue of Life
Cordia lutea,Cordia lutea,NA,NA,NA,0.988,NCBI
Darwiniothamnus tenuifolius,Darwiniothamnus tenuifolius,NA,NA,NA,0.988,NCBI
Plumbago scandens,Plumbago scandens,not accepted,synonym,21339,0.988,NCBI
Plumbago scandens,Plumbago zeylanica,accepted,NA,21340,0.988,NCBI
Justicia galapagana,Justicia galapagana,NA,NA,NA,0.988,Freebase
Tournefortia rufo-sericea,Tournefortia rufo-sericea,NA,NA,NA,0.988,Freebase
Opuntia helleri,Opuntia helleri,not accepted,synonym,910925,0.988,NCBI
Opuntia helleri,Opuntia galapageia,accepted,NA,907597,0.988,NCBI
Scalesia beurii,Scalesia beurii,NA,NA,NA,NA,NA
Scalesia beurii,Scalesia baurii,NA,NA,NA,0.75,Catalogue of Life
Sida rhombifolia,Sida rhombifolia,accepted,NA,21731,0.988,Catalogue of Life
Clerodendrum molle var.,Clerodendrum molle var.,NA,NA,NA,NA,NA
Clerodendrum molle var.,Clerodendrum molle,NA,NA,NA,0.988,Catalogue of Life
Cordia leucophlyctis,Cordia leucophlyctis,NA,NA,NA,0.988,NCBI
Diodia radula,Diodia radula,not accepted,synonym,506946,0.988,EOL
Diodia radula,Diodella radula,accepted,NA,846038,0.988,NCBI
Lycopersicon cheesmanii,Lycopersicon cheesmanii,not accepted,orthographic variant (misspelling),505847,0.988,EOL
Lycopersicon cheesmanii,Solanum cheesmaniae,accepted,NA,821252,0.988,NCBI
Mormordica charantia,Mormordica charantia,NA,NA,NA,NA,NA
Mormordica charantia,Momordica charantia,accepted,NA,22399,0.75,Catalogue of Life
Vigna luteola,Vigna luteola,accepted,NA,27016,0.988,NCBI
Acacia insulae-iacobi,Acacia insulae-iacobi,NA,NA,NA,0.988,EOL
Avicennia germinans,Avicennia germinans,accepted,NA,32137,0.988,NCBI
Bidens pilosa,Bidens pilosa,accepted,NA,35731,0.988,NCBI
Cassia picta,Cassia picta,NA,NA,NA,0.988,EOL
Clerodendrum molle,Clerodendrum molle,NA,NA,NA,0.988,uBio NameBank
Commicarpus tuberosus,Commicarpus tuberosus,NA,NA,NA,0.988,uBio NameBank
Croton scouleri,Croton scouleri,accepted,NA,1027547,0.988,NCBI
Cryptocarpus pyriformis,Cryptocarpus pyriformis,NA,NA,NA,0.988,EOL
Gossypium barbadense,Gossypium barbadense,accepted,NA,21710,0.988,NCBI
Opuntia echios,Opuntia echios,not accepted,synonym,911246,0.988,NCBI
Opuntia echios,Opuntia galapageia,accepted,NA,907597,0.988,NCBI
Prosopis juliflora,Prosopis juliflora,not accepted,misapplied,507836,0.988,NCBI
Prosopis juliflora,Prosopis juliflora,not accepted,misapplied,507836,0.988,NCBI
Prosopis juliflora,Prosopis juliflora,accepted,NA,565434,0.988,NCBI
Prosopis juliflora,Prosopis velutina,accepted,NA,26883,0.988,NCBI
Prosopis juliflora,Prosopis glandulosa var. glandulosa,accepted,NA,529861,NA,NA
Prosopis juliflora,Prosopis glandulosa glandulosa,NA,NA,NA,0.999,Catalogue of Life
Solanum americanum,Solanum americanum,not accepted,misapplied,30416,0.988,Catalogue of Life
Solanum americanum,Solanum americanum,accepted,NA,565523,0.988,Catalogue of Life
Solanum americanum,Solanum ptychanthum,accepted,NA,505270,0.988,NCBI
Tournefortia psilostachya,Tournefortia psilostachya,NA,NA,NA,0.988,NCBI
Tribulus cistoides,Tribulus cistoides,accepted,NA,29056,0.988,NCBI
Waltheria ovata,Waltheria ovata,NA,NA,NA,0.988,EOL
Abelmoschus manihot,Abelmoschus manihot,accepted,NA,21771,0.988,Catalogue of Life
Abutilon depauperatum,Abutilon depauperatum,NA,NA,NA,0.988,uBio NameBank
Acacia macracantha,Acacia macracantha,not accepted,synonym,26430,0.988,EOL
Acacia macracantha,Vachellia macracantha,accepted,NA,819933,0.988,NCBI
Ageratum conyzoides,Ageratum conyzoides,accepted,NA,36481,0.988,NCBI
Bacopa monniera,Bacopa monniera,NA,NA,NA,0.988,EOL
Bastardia viscosa,Bastardia viscosa,accepted,NA,21779,0.988,EOL
Brassica campestris,Brassica campestris,not accepted,synonym,23055,0.988,EOL
Brassica campestris,Brassica rapa,accepted,NA,23063,0.988,NCBI
Bursera graveolens,Bursera graveolens,NA,NA,NA,0.988,Catalogue of Life
Cacabus miersii,Cacabus miersii,NA,NA,NA,0.988,uBio NameBank
Caesalpinia pulcherrima,Caesalpinia pulcherrima,accepted,NA,26511,0.988,NCBI
Capsicum frutescens,Capsicum frutescens,not accepted,misapplied,30493,0.988,NCBI
Capsicum frutescens,Capsicum frutescens,not accepted,synonym,565949,0.988,NCBI
Capsicum frutescens,Capsicum annuum var. annuum,accepted,NA,527044,NA,NA
Capsicum frutescens,Capsicum annuum var. glabriusculum,accepted,NA,527045,NA,NA
Capsicum frutescens,Capsicum annuum annuum,NA,NA,NA,0.999,NCBI
Capsicum frutescens,Capsicum annuum glabriusculum,NA,NA,NA,0.999,NCBI
Cardiospermum galapageium,Cardiospermum galapageium,NA,NA,NA,0.988,uBio NameBank
Carica papaya,Carica papaya,accepted,NA,22324,0.988,NCBI
Cassia occidentalis,Cassia occidentalis,not accepted,synonym,25762,0.988,EOL
Cassia occidentalis,Senna occidentalis,accepted,NA,505166,0.988,NCBI
Castela galapageia,Castela galapageia,NA,NA,NA,0.988,uBio NameBank
Catharanthus roseus,Catharanthus roseus,accepted,NA,30168,0.988,NCBI
Chicocca alba,Chicocca alba,NA,NA,NA,NA,NA
Chicocca alba,Chiococca alba,accepted,NA,34958,0.75,Catalogue of Life
Clerodendrum molle glabr.,Clerodendrum molle glabr.,NA,NA,NA,NA,NA
Clerodendrum molle glabr.,Clerodendrum molle,NA,NA,NA,0.988,Catalogue of Life
Coffea arabica,Coffea arabica,accepted,NA,35190,0.988,NCBI
Crotalaria incana,Crotalaria incana,accepted,NA,26571,0.988,NCBI
Cucurbita pepo,Cucurbita pepo,accepted,NA,22373,0.988,NCBI
Cuphea racemosa,Cuphea racemosa,NA,NA,NA,0.988,Catalogue of Life
Encelia hispida,Encelia hispida,NA,NA,NA,0.988,NCBI
Euphorbia cyathophora,Euphorbia cyathophora,accepted,NA,28060,0.988,NCBI
Galactea striata,Galactea striata,NA,NA,NA,NA,NA
Galactea striata,Galactia striata,accepted,NA,26701,0.75,Catalogue of Life
Galvezia leucantha,Galvezia leucantha,NA,NA,NA,0.988,Catalogue of Life
Galvezia leucantha pubescen,Galvezia leucantha pubescen,NA,NA,NA,NA,NA
Geoffroea spinosa,Geoffroea spinosa,NA,NA,NA,0.988,NCBI
Hibiscus teliaceus,Hibiscus teliaceus,NA,NA,NA,NA,NA
Hibiscus teliaceus,Hibiscus tiliaceus,not accepted,synonym,21618,0.75,Catalogue of Life
Hibiscus teliaceus,Talipariti tiliaceum,accepted,NA,845742,NA,NA
Inga edulis,Inga edulis,accepted,NA,506320,0.988,NCBI
Ipomoea linearifolia,Ipomoea linearifolia,NA,NA,NA,0.988,uBio NameBank
Ipomoea pes-caprae,Ipomoea pes-caprae,accepted,NA,30787,0.988,Catalogue of Life
Jaegeria gracilis,Jaegeria gracilis,NA,NA,NA,0.988,Freebase
Lantana peducularis,Lantana peducularis,NA,NA,NA,NA,NA
Lantana peducularis,Lantana peduncularis,NA,NA,NA,0.75,Catalogue of Life
Lycopersicon cheesmanii minor,Lycopersicon cheesmanii minor,NA,NA,NA,0.999,uBio NameBank
Macraea laricifolia,Macraea laricifolia,NA,NA,NA,0.988,EOL
Malvastrum coromandelianum,Malvastrum coromandelianum,accepted,NA,503679,0.988,Catalogue of Life
Mentzelia aspera,Mentzelia aspera,accepted,NA,202470,0.988,NCBI
Miconia robinsoniana,Miconia robinsoniana,NA,NA,NA,0.988,NCBI
Mirabilis jalapa,Mirabilis jalapa,accepted,NA,19648,0.988,NCBI
Nolana galapagensis,Nolana galapagensis,NA,NA,NA,0.988,NCBI
Opuntia echios gigantea,Opuntia echios gigantea,NA,NA,NA,0.999,uBio NameBank
Opuntia megasperma,Opuntia megasperma,not accepted,synonym,911403,0.988,NCBI
Opuntia megasperma,Opuntia galapageia,accepted,NA,907597,0.988,NCBI
Parkinsonia aculeata,Parkinsonia aculeata,accepted,NA,26826,0.988,NCBI
Passiflora foetida,Passiflora foetida,accepted,NA,22225,0.988,NCBI
Persea maericana,Persea maericana,NA,NA,NA,NA,NA
Persea maericana,Persea americana,accepted,NA,18154,0.75,Catalogue of Life
Physalis pubescens,Physalis pubescens,accepted,NA,30607,0.988,NCBI
Piscidia carthagenesis,Piscidia carthagenesis,NA,NA,NA,NA,NA
Piscidia carthagenesis,Piscidia carthagenensis,accepted,NA,504416,0.75,Catalogue of Life
Polygonum opelousanum,Polygonum opelousanum,not accepted,synonym,519395,0.988,EOL
Polygonum opelousanum,Persicaria hydropiperoides,accepted,NA,518733,0.988,NCBI
Portulaca oleracea,Portulaca oleracea,accepted,NA,20422,0.988,NCBI
Psidium guajava,Psidium guajava,accepted,NA,27240,0.988,NCBI
Psychotria rufipes,Psychotria rufipes,NA,NA,NA,0.988,NCBI
Rhynchosia minima,Rhynchosia minima,accepted,NA,504766,0.988,NCBI
Scalesia affinis,Scalesia affinis,NA,NA,NA,0.988,Catalogue of Life
Scalesia helleri,Scalesia helleri,NA,NA,NA,0.988,Catalogue of Life
Scalesia pedunculata,Scalesia pedunculata,NA,NA,NA,0.988,NCBI
Scaveola plumieri,Scaveola plumieri,NA,NA,NA,NA,NA
Scaveola plumieri,Scaevola plumieri,accepted,NA,34770,0.75,Catalogue of Life
Sesuvium portulacastrum,Sesuvium portulacastrum,accepted,NA,19910,0.988,Catalogue of Life
Setaria geniculta,Setaria geniculta,NA,NA,NA,NA,NA
Setaria geniculta,Setaria geniculata,not accepted,"other, see comments",41235,0.75,Catalogue of Life
Setaria geniculta,Setaria geniculata,not accepted,"other, see comments",794992,0.75,Catalogue of Life
Setaria geniculta,Setaria geniculata,not accepted,"other, see comments",794993,0.75,Catalogue of Life
Setaria geniculta,Setaria parviflora,accepted,NA,505191,NA,NA
Sida acuta,Sida acuta,accepted,NA,21726,0.988,NCBI
Sida paniculata,Sida paniculata,not accepted,synonym,521452,0.988,CU*STAR
Sida paniculata,Sidastrum paniculatum,accepted,NA,21980,0.988,NCBI
Sida spinosa,Sida spinosa,accepted,NA,21732,0.988,NCBI
Sonchus oleraceus,Sonchus oleraceus,accepted,NA,38427,0.988,NCBI
Stachtarpheta cayanensis,Stachtarpheta cayanensis,NA,NA,NA,NA,NA
Stachtarpheta cayanensis,Stachytarpheta cayanensis,NA,NA,NA,0.75,GBIF Backbone Taxonomy
Tetramerium nervosum,Tetramerium nervosum,accepted,NA,505456,0.988,NCBI
Vallesia glabra,Vallesia glabra,not accepted,misapplied,505640,0.988,EOL
Vallesia glabra,Vallesia glabra,accepted,NA,565592,0.988,EOL
Vallesia glabra,Vallesia antillana,accepted,NA,30234,0.988,NCBI
Cassinia vauvilliersi,Cassinia vauvilliersi,NA,NA,NA,NA,NA
Cassinia vauvilliersi,Cassinia vauvilliersii,NA,NA,NA,0.75,Catalogue of Life
Pratia angulata,Pratia angulata,NA,NA,NA,0.988,NCBI
Gentiana corymbifera,Gentiana corymbifera,NA,NA,NA,0.988,uBio NameBank
Wahlenbergia albomarginata,Wahlenbergia albomarginata,NA,NA,NA,0.988,NCBI
Celmisia coriacea,Celmisia coriacea,NA,NA,NA,0.988,Catalogue of Life
Galium propinquum,Galium propinquum,NA,NA,NA,0.988,uBio NameBank
Helichrysum bellidioides,Helichrysum bellidioides,NA,NA,NA,0.988,EOL
Celmisia armstrongii,Celmisia armstrongii,NA,NA,NA,0.988,NCBI
Chrysanthemum leucanthemum,Chrysanthemum leucanthemum,not accepted,synonym,510896,0.988,GBIF Backbone Taxonomy
Chrysanthemum leucanthemum,Leucanthemum vulgare,accepted,NA,37903,0.988,Catalogue of Life
Craspedia uniflora,Craspedia uniflora,NA,NA,NA,0.988,NCBI
Hoheria glabrata,Hoheria glabrata,NA,NA,NA,0.988,NCBI
Senecio bellidioides,Senecio bellidioides,NA,NA,NA,0.988,uBio NameBank
Hebe odora,Hebe odora,NA,NA,NA,0.988,Freebase
Senecio bidwilli,Senecio bidwilli,NA,NA,NA,NA,NA
Senecio bidwilli,Senecio bidwillii,NA,NA,NA,0.75,Catalogue of Life
Parahebe lyalii,Parahebe lyalii,NA,NA,NA,NA,NA
Parahebe lyalii,Parahebe lyallii,NA,NA,NA,0.75,Catalogue of Life
Ranunculus lyalii,Ranunculus lyalii,NA,NA,NA,NA,NA
Ranunculus lyalii,Ranunculus lyallii,NA,NA,NA,0.75,Catalogue of Life
Senecio scorzoneroides,Senecio scorzoneroides,NA,NA,NA,0.988,uBio NameBank
Ourisia macrocarpa,Ourisia macrocarpa,NA,NA,NA,0.988,Catalogue of Life
Leptospermum scoparium,Leptospermum scoparium,accepted,NA,503393,0.988,NCBI
Hebe salicifolia,Hebe salicifolia,NA,NA,NA,0.988,Freebase
Discaria toumatou,Discaria toumatou,NA,NA,NA,0.988,NCBI
Olearia virgata,Olearia virgata,NA,NA,NA,0.988,Catalogue of Life
Aciphylla subflavellata,Aciphylla subflavellata,NA,NA,NA,NA,NA
Aciphylla subflavellata,Aciphylla subflabellata,NA,NA,NA,0.75,Catalogue of Life
Cassinia fulvida,Cassinia fulvida,NA,NA,NA,0.988,uBio NameBank
Corokia cotoneaster,Corokia cotoneaster,NA,NA,NA,0.988,NCBI
Celmisia spectabilis,Celmisia spectabilis,accepted,NA,780241,0.988,Catalogue of Life
Dracuphyllum acerosum,Dracuphyllum acerosum,NA,NA,NA,NA,NA
Dracuphyllum acerosum,Dracophyllum acerosum,NA,NA,NA,0.75,Catalogue of Life
Helichrysum selago,Helichrysum selago,NA,NA,NA,0.988,NCBI
Raoulia subsericea,Raoulia subsericea,NA,NA,NA,0.988,NCBI
Pimelea traversii,Pimelea traversii,NA,NA,NA,0.988,Catalogue of Life
Celmisia gracilenta,Celmisia gracilenta,NA,NA,NA,0.988,NCBI
Hebe brachysiphon,Hebe brachysiphon,NA,NA,NA,0.988,nlbif
Muehlenbeckia axillaris,Muehlenbeckia axillaris,not accepted,misapplied,517337,0.988,NCBI
Muehlenbeckia axillaris,Muehlenbeckia axillaris,accepted,NA,565312,0.988,NCBI
Muehlenbeckia axillaris,Muehlenbeckia complexa,accepted,NA,503881,0.988,NCBI
Isotoma fluviatilis,Isotoma fluviatilis,NA,NA,NA,0.988,NCBI
Parahebe decora,Parahebe decora,NA,NA,NA,0.988,EOL
Pimelea sericeo-villosa,Pimelea sericeo-villosa,NA,NA,NA,0.988,uBio NameBank
Potentilla anserina,Potentilla anserina,accepted,NA,24687,0.988,NCBI
Brachyome sinclairii,Brachyome sinclairii,NA,NA,NA,NA,NA
Carmichaelia angusta,Carmichaelia angusta,NA,NA,NA,0.988,uBio NameBank
Raoulia lutescens,Raoulia lutescens,NA,NA,NA,0.988,uBio NameBank
Verbascum thapsis,Verbascum thapsis,NA,NA,NA,NA,NA
Verbascum thapsis,Verbascum thapsus,accepted,NA,33394,0.75,Catalogue of Life
Cytisus scoparius,Cytisus scoparius,accepted,NA,501966,0.988,NCBI
Digitalis purpurea,Digitalis purpurea,accepted,NA,33585,0.988,Catalogue of Life
Lupinus polyphyllus,Lupinus polyphyllus,accepted,NA,25921,0.988,NCBI
Marrubium vulgare,Marrubium vulgare,accepted,NA,32561,0.988,NCBI
Muehlenbeckia complexa,Muehlenbeckia complexa,accepted,NA,503881,0.988,NCBI
Raoulia mammilaris,Raoulia mammilaris,NA,NA,NA,NA,NA
Raoulia mammilaris,Raoulia mammillaris,NA,NA,NA,0.75,Catalogue of Life
Hebe subalpina,Hebe subalpina,NA,NA,NA,0.988,EOL
Cassinia vauvilliersii,Cassinia vauvilliersii,NA,NA,NA,0.988,uBio NameBank
Celmisia discolor,Celmisia discolor,NA,NA,NA,0.988,EOL
Celmisia petiolata,Celmisia petiolata,NA,NA,NA,0.988,uBio NameBank
Hebe pinguifolia,Hebe pinguifolia,NA,NA,NA,0.988,EOL
Dracophyllum pronum,Dracophyllum pronum,NA,NA,NA,0.988,NCBI
Euphrasia revoluta,Euphrasia revoluta,NA,NA,NA,0.988,NCBI
Phyllachne colensoi,Phyllachne colensoi,NA,NA,NA,0.988,NCBI
Hebe epacridea,Hebe epacridea,NA,NA,NA,0.988,Freebase
Hieracium praealtum,Hieracium praealtum,not accepted,synonym,37721,0.988,EOL
Hieracium praealtum,Hieracium piloselloides,accepted,NA,503030,0.988,NCBI
Leucogenes grandiceps,Leucogenes grandiceps,NA,NA,NA,0.988,NCBI
Brachycome sinlcairii,Brachycome sinlcairii,NA,NA,NA,NA,NA
Brachycome sinlcairii,Brachyscome sinclairii,NA,NA,NA,0.75,Catalogue of Life
Drapetes dieffenbachii,Drapetes dieffenbachii,NA,NA,NA,0.988,uBio NameBank
Geum uniflorum,Geum uniflorum,NA,NA,NA,0.988,EOL
Aciphylla scott-thompsoni,Aciphylla scott-thompsoni,NA,NA,NA,NA,NA
Aciphylla scott-thompsoni,Aciphylla scott-thomsonii,NA,NA,NA,0.75,Catalogue of Life
Anisotome aromatica,Anisotome aromatica,NA,NA,NA,0.988,NCBI
Celmisia laricifolia,Celmisia laricifolia,NA,NA,NA,0.988,uBio NameBank
